img,title,text,page_name,
2025_08_25.jpg,Bilateral AI Cluster of Excellence at SEMANTiCS 2025,"The Bilateral AI Austrian Science Fund (FWF) Cluster of Excellence is conducting fundamental research into the combination of ...",2025-08-25
2025_06_25.png,Hot Trends and Use Cases for Semantics: A SEMANTiCS 2025 Industry Perspective,"The SEMANTiCS conference has always fostered a unique environment where...",2025-06-25
2025_06_17.png,Where SEMANTiCS is headed to in 2025?,"As we approach this yearâ€™s SEMANTiCS conference, the excitement around the Research and Innovation Track is perceivable",2025-06-17,
2025_05_13.png,Unlocking machine-actionable Scholarly Knowledge with the ORKG at SEMANTiCS 2025,"Navigating the vast ocean of scholarly literature can feel overwhelming...",2025-05-13,
2025_04_22.png,From the Highlights of SEMANTiCS 2024 to the Anticipated Innovations of SEMANTiCS 2025,"Last year, SEMANTiCS, leading conference in Semantic Web...",2025-04-22,
2025_4_7.png,SEMANTiCS 2025: Where Meaning Powers the Future of AI!,The 21st edition of the SEMANTiCS conference is coming to Vienna in September 2025..,2025-04-7,
2025_3_17.png,A very warm welcome from local organizers of the conference!,We are thrilled to announce the 21st edition of the SEMANTiCS Conference..,2025-03-17,
SEMANTiCS_2024.png,This was SEMANTiCS 2024!,It has been a great event: three amazing conference days...,2024-11-09,
2024_09_17.png,Celebrating Our SEMANTiCS 2024 Student Travel Grantees,We are thrilled to announce and celebrate the recipients of the SEMANTiCS 2024 Student Travel Grants...,2024-09-17,
2024_08_23.png,Join the DataBri-X DataThon at SEMANTiCS24 - A Day of Innovation Learning and Competition!,Are you passionate about data science semantic technologies and innovative tools?,2024-08-23,
2024_08_20.png,"Introducing the SEMANTiCS 2024 Workshops & Tutorials","We are excited to announce the workshops & tutorials accepted for SEMANTiCS 2024! This year...",2024-08-20, 